Year,25%_Emissions_GtC,25%_CO2_ppm,25%_Temp_C,25%_Forcing_Wm2,50%_Emissions_GtC,50%_CO2_ppm,50%_Temp_C,50%_Forcing_Wm2,75%_Emissions_GtC,75%_CO2_ppm,75%_Temp_C,75%_Forcing_Wm2,100%_Emissions_GtC,100%_CO2_ppm,100%_Temp_C,100%_Forcing_Wm2
2024,10.7,420.0,1.2,2.1692383283786794,10.7,420.0,1.2,2.1692383283786794,10.7,420.0,1.2,2.1692383283786794,10.7,420.0,1.2,2.1692383283786794
2025,10.7,417.81632,1.2053622960173644,2.1413498421416253,10.7,417.81632,1.2053622960173644,2.1413498421416253,10.7,417.81632,1.2053622960173644,2.1413498421416253,10.7,417.81632,1.2053622960173644,2.1413498421416253
2026,10.379,415.6763136,1.2104482191482984,2.113877351236604,10.485999999999999,415.6763136,1.2104482191482984,2.113877351236604,10.593,415.6763136,1.2104482191482984,2.113877351236604,10.7,415.6763136,1.2104482191482984,2.113877351236604
2027,10.058,413.560617728,1.2152619333908083,2.086577560192462,10.271999999999998,413.566780928,1.2152625798441166,2.0866572894338202,10.485999999999999,413.572944128,1.2152632262877912,2.086737017487018,10.7,413.579107328,1.2152638727218323,2.086816744352091
2028,9.737,411.46874617344,1.219807537252998,2.0594475275187083,10.058,411.48711250944,1.2198101134376556,2.0596863250108934,10.379,411.50547884544,1.2198126895263577,2.0599251118448167,10.7,411.52384518144004,1.2198152655191121,2.0601638880214317
2029,9.416,409.40022244997124,1.2240890645704472,2.032484331764111,9.844,409.4367110592512,1.2240954810052471,2.032961139909392,10.271999999999998,409.4731996685312,1.224101897000531,2.0334379055638796,10.7,409.5096882778112,1.224108312556368,2.0339146287351455
2030,9.094999999999999,407.3545796009718,1.228110485317854,2.005685071817061,9.629999999999999,407.4149912380662,1.2281232702263203,2.006478430505492,10.165,407.47540287516057,1.2281360537459025,2.00727167156314,10.7,407.535814512255,1.2281488358769521,2.008064795024884
2031,8.774,405.3313600089524,1.23187570641484,1.979046867186958,9.416,405.42137941330486,1.2318979962404388,1.980234908353759,10.058,405.5113988176574,1.2319202825524291,1.9814226857582307,10.7,405.6014182220099,1.2319425653521079,1.9826101995174656
2032,8.453,403.33011520877335,1.2353885725258293,1.9525668582669977,9.202,403.45531342503875,1.2354241025015822,1.9542273009042195,9.950999999999999,403.5805116413042,1.2354596248217253,1.9558872283611912,10.7,403.7057098575697,1.2354951394901341,1.957546640957498
2033,8.132,401.3504057045979,1.2386528668539118,1.9262422065787042,8.988,401.516242356538,1.2387059616294818,1.9284523521928985,9.844,401.6820790084781,1.2387590414260587,1.930661585147916,10.7,401.84791566041827,1.2388121062535884,1.932869906197194
2034,7.811,399.39180079050595,1.2416723119286046,1.9000700949986027,8.774,399.6036263094072,1.2417478762578302,1.9029068235060143,9.736999999999998,399.81545182830854,1.2418234135687685,1.9057420486929957,10.7,400.0272773472099,1.2418989238841773,1.908575772152069
